Component,Availability,Size,Nodes,vCPU,RAM (GB),Disk (GB),Location,Required,Fleet DR,Design_IDs,Funnel_CFG_IDs,Doc_Ref,Considerations,Source_URL,Notes
Identity Broker,Simple,Small,1,24,48,150,VCF Management Services,No,Restore,DES-MS-HOSTED; VCF-MS-REQD-COM-001; VCF-MS-REQD-SIM-001,VCF-AUTO-REQD-CFG-004,VCF-MS-REQD-COM-001,DES-MS-HOSTED: Runs as a workload on the VCF services runtime; inherits Simple vs HA from the runtime model (SIM-001 / HA-001 on control+worker rows). | VCF-MS-REQD-COM-001: Allocate IP range for all planned control + worker nodes (day-N scale-out consumes more). | VCF-MS-REQD-SIM-001: Simple MS: deploy 1 control-plane + 3 workers in default mgmt cluster; CP loss ⇒ redeploy/restore.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-management-services-models.html,migrated from 'Identity Broker - Simple'; Size was Simple → Small; Availability=Simple; Required cleared (was Yes on Simple)
License Server,HA,Base,1,2,4,12,VCF Management Services,Yes,Yes,DES-LICENSE; DES-PNP,VCF-LIC-REQD-CFG-001;VCF-LIC-RCMD-CFG-002,DES-LICENSE,DES-LICENSE: License Server: 1× Default in both Simple and HA Fleet models. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
License Server,Simple,Small,1,2,4,12,VCF Management Services,No,Yes,DES-LICENSE; DES-PNP,VCF-LIC-REQD-CFG-001;VCF-LIC-RCMD-CFG-002,DES-LICENSE,DES-LICENSE: License Server: 1× Default in both Simple and HA Fleet models. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,migrated from 'License Server - Simple'; Size was Simple → Small; Availability=Simple; Required cleared (was Yes on Simple)
Log Management,HA,Medium,3,72,144,1725,VCF Management Services,No,Restore,DES-MS-HOSTED; VCF-MS-REQD-COM-001; VCF-MS-REQD-HA-001; DES-OPTIONAL-DAYN,,VCF-MS-REQD-COM-001,DES-MS-HOSTED: Runs as a workload on the VCF services runtime; inherits Simple vs HA from the runtime model (SIM-001 / HA-001 on control+worker rows). | VCF-MS-REQD-COM-001: Allocate IP range for all planned control + worker nodes (day-N scale-out consumes more). | VCF-MS-REQD-HA-001: HA MS: deploy 3 control-plane nodes + workers for chosen size (Medium/Large); higher resource cost. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-management-services-models.html,
Log Management,HA,Large,6,144,288,1725,VCF Management Services,No,Restore,DES-MS-HOSTED; VCF-MS-REQD-COM-001; VCF-MS-REQD-HA-001; DES-OPTIONAL-DAYN,,VCF-MS-REQD-COM-001,DES-MS-HOSTED: Runs as a workload on the VCF services runtime; inherits Simple vs HA from the runtime model (SIM-001 / HA-001 on control+worker rows). | VCF-MS-REQD-COM-001: Allocate IP range for all planned control + worker nodes (day-N scale-out consumes more). | VCF-MS-REQD-HA-001: HA MS: deploy 3 control-plane nodes + workers for chosen size (Medium/Large); higher resource cost. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-management-services-models.html,
Offline Software Depot,HA,Base,1,2,8,500,VCF Management Services,No,Restore,DES-MS-HOSTED; VCF-MS-REQD-COM-001; VCF-MS-REQD-HA-001; DES-OPTIONAL-DAYN,,VCF-MS-REQD-COM-001,DES-MS-HOSTED: Runs as a workload on the VCF services runtime; inherits Simple vs HA from the runtime model (SIM-001 / HA-001 on control+worker rows). | VCF-MS-REQD-COM-001: Allocate IP range for all planned control + worker nodes (day-N scale-out consumes more). | VCF-MS-REQD-HA-001: HA MS: deploy 3 control-plane nodes + workers for chosen size (Medium/Large); higher resource cost. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-management-services-models.html,Size was 'Optional' → Base (Required=No)
Protection Blueprint Requirements,HA,Base,1,8,24,800,VCF Management Services,Yes,Yes,DES-PNP; DES-FLEET-HA,,DES-PNP,DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Protection Blueprint Requirements,Simple,Small,1,8,24,800,VCF Management Services,No,Yes,DES-PNP; DES-FLEET-SIMPLE,,DES-PNP,DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-SIMPLE: Fleet Simple footprint: prefer single-node appliances where model allows (lab/PoC/minimal).,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,migrated from 'Protection Blueprint Requirements - Simple'; Size was Simple → Small; Availability=Simple; Required cleared (was Yes on Simple)
Real-time Metrics,HA,Medium,2,48,96,205,VCF Management Services,No,No,DES-MS-HOSTED; VCF-MS-REQD-COM-001; VCF-MS-REQD-HA-001; DES-OPTIONAL-DAYN,,VCF-MS-REQD-COM-001,DES-MS-HOSTED: Runs as a workload on the VCF services runtime; inherits Simple vs HA from the runtime model (SIM-001 / HA-001 on control+worker rows). | VCF-MS-REQD-COM-001: Allocate IP range for all planned control + worker nodes (day-N scale-out consumes more). | VCF-MS-REQD-HA-001: HA MS: deploy 3 control-plane nodes + workers for chosen size (Medium/Large); higher resource cost. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-management-services-models.html,Size was 'Required' → Medium (Required flag remains No)
Real-time Metrics,Simple,Small,2,24,48,205,VCF Management Services,No,No,DES-MS-HOSTED; VCF-MS-REQD-COM-001; VCF-MS-REQD-SIM-001; DES-OPTIONAL-DAYN,,VCF-MS-REQD-COM-001,DES-MS-HOSTED: Runs as a workload on the VCF services runtime; inherits Simple vs HA from the runtime model (SIM-001 / HA-001 on control+worker rows). | VCF-MS-REQD-COM-001: Allocate IP range for all planned control + worker nodes (day-N scale-out consumes more). | VCF-MS-REQD-SIM-001: Simple MS: deploy 1 control-plane + 3 workers in default mgmt cluster; CP loss ⇒ redeploy/restore. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-management-services-models.html,migrated from 'Real-time Metrics - Simple'; Size was Simple → Small; Availability=Simple
SDDC Manager,HA,Base,1,4,16,914,VCF Management Services,Yes,Yes,DES-SDDC; DES-PNP,VCF-SDDCMGR-REQD-CFG-001;VCF-SDDCMGR-REQD-CFG-005,DES-SDDC,DES-SDDC: SDDC Manager: 1× Default in both Simple and HA Fleet models. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
SDDC Manager,Simple,Small,1,4,16,914,VCF Management Services,No,Yes,DES-SDDC; DES-PNP,VCF-SDDCMGR-REQD-CFG-001;VCF-SDDCMGR-REQD-CFG-005,DES-SDDC,DES-SDDC: SDDC Manager: 1× Default in both Simple and HA Fleet models. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,migrated from 'SDDC Manager - Simple'; Size was Simple → Small; Availability=Simple; Required cleared (was Yes on Simple)
VCF Operations for networks,HA,Medium,1,8,32,1024,VCF Management Services,No,Protect,DES-PNP; DES-FLEET-HA; DES-OPTIONAL-DAYN,,DES-PNP,DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
VCF Operations for networks,HA,Large,3,36,144,3072,VCF Management Services,No,Protect,DES-PNP; DES-FLEET-HA; DES-OPTIONAL-DAYN,,DES-PNP,DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
VCF Operations for networks,Simple,Small,1,4,16,1024,VCF Management Services,No,Protect,DES-PNP; DES-FLEET-SIMPLE; DES-OPTIONAL-DAYN,,DES-PNP,DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-SIMPLE: Fleet Simple footprint: prefer single-node appliances where model allows (lab/PoC/minimal). | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,migrated from 'VCF Operations for networks - Simple'; Size was Simple → Small; Availability=Simple
VCF Operations for networks collector,HA,Base,1,4,12,250,VCF Management Services,No,Protect,DES-PNP; DES-FLEET-HA; DES-OPTIONAL-DAYN,,DES-PNP,DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
VCF Operations for networks collector,Simple,Small,1,2,4,250,VCF Management Services,No,Protect,DES-PNP; DES-FLEET-SIMPLE; DES-OPTIONAL-DAYN,,DES-PNP,DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab. | DES-FLEET-SIMPLE: Fleet Simple footprint: prefer single-node appliances where model allows (lab/PoC/minimal). | DES-OPTIONAL-DAYN: Optional/day-N component — enable only when design needs it; may add MS worker capacity.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,migrated from 'VCF Operations for networks collector - Simple'; Size was Simple → Small; Availability=Simple
VCF services runtime control nodes,HA,Medium,3,12,30,300,VCF Management Services,Yes,Yes,VCF-MS-REQD-COM-001; VCF-MS-REQD-COM-002; VCF-MS-REQD-COM-003; VCF-MS-REQD-HA-001,VCF-CLS-REQD-CFG-001;VCF-CLS-REQD-CFG-002,VCF-MS-REQD-COM-001,VCF-MS-REQD-COM-001: Allocate IP range for all planned control + worker nodes (day-N scale-out consumes more). | VCF-MS-REQD-COM-002: CAPV anti-affinity: MS nodes on different ESX hosts (DRS rules not required). | VCF-MS-REQD-COM-003: Protect MS nodes with vSphere HA (restart on host failure). | VCF-MS-REQD-HA-001: HA MS: deploy 3 control-plane nodes + workers for chosen size (Medium/Large); higher resource cost.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-management-services-availabilty-detailed-design/vcf-management-services-high-availability-deployment-model.html,
VCF services runtime control nodes,HA,Large,3,24,42,300,VCF Management Services,No,Yes,VCF-MS-REQD-COM-001; VCF-MS-REQD-COM-002; VCF-MS-REQD-COM-003; VCF-MS-REQD-HA-001,VCF-CLS-REQD-CFG-001;VCF-CLS-REQD-CFG-002,VCF-MS-REQD-COM-001,VCF-MS-REQD-COM-001: Allocate IP range for all planned control + worker nodes (day-N scale-out consumes more). | VCF-MS-REQD-COM-002: CAPV anti-affinity: MS nodes on different ESX hosts (DRS rules not required). | VCF-MS-REQD-COM-003: Protect MS nodes with vSphere HA (restart on host failure). | VCF-MS-REQD-HA-001: HA MS: deploy 3 control-plane nodes + workers for chosen size (Medium/Large); higher resource cost.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-management-services-availabilty-detailed-design/vcf-management-services-high-availability-deployment-model.html,Required cleared (non-default HA size)
VCF services runtime control nodes,Simple,Small,1,4,10,100,VCF Management Services,No,Yes,VCF-MS-REQD-COM-001; VCF-MS-REQD-COM-002; VCF-MS-REQD-COM-003; VCF-MS-REQD-SIM-001,VCF-CLS-REQD-CFG-001;VCF-CLS-REQD-CFG-002,VCF-MS-REQD-COM-001,VCF-MS-REQD-COM-001: Allocate IP range for all planned control + worker nodes (day-N scale-out consumes more). | VCF-MS-REQD-COM-002: CAPV anti-affinity: MS nodes on different ESX hosts (DRS rules not required). | VCF-MS-REQD-COM-003: Protect MS nodes with vSphere HA (restart on host failure). | VCF-MS-REQD-SIM-001: Simple MS: deploy 1 control-plane + 3 workers in default mgmt cluster; CP loss ⇒ redeploy/restore.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-management-services-availabilty-detailed-design/vcf-management-services-simple-deployment-model.html,migrated from 'VCF services runtime control nodes - Simple'; Size was Simple → Small; Availability=Simple; Required cleared (was Yes on Simple)
VCF services runtime worker nodes,HA,Medium,3,72,144,3300,VCF Management Services,Yes,Yes,VCF-MS-REQD-COM-001; VCF-MS-REQD-COM-002; VCF-MS-REQD-COM-003; VCF-MS-REQD-HA-001,VCF-CLS-REQD-CFG-001;VCF-CLS-REQD-CFG-002,VCF-MS-REQD-COM-001,VCF-MS-REQD-COM-001: Allocate IP range for all planned control + worker nodes (day-N scale-out consumes more). | VCF-MS-REQD-COM-002: CAPV anti-affinity: MS nodes on different ESX hosts (DRS rules not required). | VCF-MS-REQD-COM-003: Protect MS nodes with vSphere HA (restart on host failure). | VCF-MS-REQD-HA-001: HA MS: deploy 3 control-plane nodes + workers for chosen size (Medium/Large); higher resource cost.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-management-services-availabilty-detailed-design/vcf-management-services-high-availability-deployment-model.html,
VCF services runtime worker nodes,HA,Large,4,96,192,4102,VCF Management Services,No,Yes,VCF-MS-REQD-COM-001; VCF-MS-REQD-COM-002; VCF-MS-REQD-COM-003; VCF-MS-REQD-HA-001,VCF-CLS-REQD-CFG-001;VCF-CLS-REQD-CFG-002,VCF-MS-REQD-COM-001,VCF-MS-REQD-COM-001: Allocate IP range for all planned control + worker nodes (day-N scale-out consumes more). | VCF-MS-REQD-COM-002: CAPV anti-affinity: MS nodes on different ESX hosts (DRS rules not required). | VCF-MS-REQD-COM-003: Protect MS nodes with vSphere HA (restart on host failure). | VCF-MS-REQD-HA-001: HA MS: deploy 3 control-plane nodes + workers for chosen size (Medium/Large); higher resource cost.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-management-services-availabilty-detailed-design/vcf-management-services-high-availability-deployment-model.html,Required cleared (non-default HA size)
VCF services runtime worker nodes,Simple,Small,3,36,72,2900,VCF Management Services,No,Yes,VCF-MS-REQD-COM-001; VCF-MS-REQD-COM-002; VCF-MS-REQD-COM-003; VCF-MS-REQD-SIM-001,VCF-CLS-REQD-CFG-001;VCF-CLS-REQD-CFG-002,VCF-MS-REQD-COM-001,VCF-MS-REQD-COM-001: Allocate IP range for all planned control + worker nodes (day-N scale-out consumes more). | VCF-MS-REQD-COM-002: CAPV anti-affinity: MS nodes on different ESX hosts (DRS rules not required). | VCF-MS-REQD-COM-003: Protect MS nodes with vSphere HA (restart on host failure). | VCF-MS-REQD-SIM-001: Simple MS: deploy 1 control-plane + 3 workers in default mgmt cluster; CP loss ⇒ redeploy/restore.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/design-library/vcf-management-services-availabilty-detailed-design/vcf-management-services-simple-deployment-model.html,migrated from 'VCF services runtime worker nodes - Simple'; Size was Simple → Small; Availability=Simple; Required cleared (was Yes on Simple)
Workload Domain NSX Managers (Local / Global),HA,Small,3,4,16,300,VCF Workload Domain,No,No,DES-NSX-HA; DES-FLEET-HA; DES-PNP,VCF-NSX-LM-REQD-CFG-003;VCF-NSX-LM-REQD-CFG-004;VCF-NSX-LM-REQD-CFG-005,DES-NSX-HA,DES-NSX-HA: HA NSX: 3 managers (Medium or Large per scale); needs host count for anti-affinity + VIP. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Workload Domain NSX Managers (Local / Global),HA,Medium,3,6,24,300,VCF Workload Domain,No,No,DES-NSX-HA; DES-FLEET-HA; DES-PNP,VCF-NSX-LM-REQD-CFG-003;VCF-NSX-LM-REQD-CFG-004;VCF-NSX-LM-REQD-CFG-005,DES-NSX-HA,DES-NSX-HA: HA NSX: 3 managers (Medium or Large per scale); needs host count for anti-affinity + VIP. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Workload Domain NSX Managers (Local / Global),HA,Large,3,12,48,300,VCF Workload Domain,No,No,DES-NSX-HA; DES-FLEET-HA; DES-PNP,VCF-NSX-LM-REQD-CFG-003;VCF-NSX-LM-REQD-CFG-004;VCF-NSX-LM-REQD-CFG-005,DES-NSX-HA,DES-NSX-HA: HA NSX: 3 managers (Medium or Large per scale); needs host count for anti-affinity + VIP. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Workload Domain NSX Managers (Local / Global),HA,X-Large,3,24,96,400,VCF Workload Domain,No,No,DES-NSX-HA; DES-FLEET-HA; DES-PNP,VCF-NSX-LM-REQD-CFG-003;VCF-NSX-LM-REQD-CFG-004;VCF-NSX-LM-REQD-CFG-005,DES-NSX-HA,DES-NSX-HA: HA NSX: 3 managers (Medium or Large per scale); needs host count for anti-affinity + VIP. | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.,https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Workload Domain vCenter,HA,Medium,1,8,30,1658,VCF Workload Domain,No,No,DES-VC-HA; DES-FLEET-HA; DES-PNP,VCF-VC-REQD-CFG-002;VCF-VC-REQD-CFG-005,DES-VC-HA,"DES-VC-HA: vCenter Medium/Large per Fleet sizing; single VC appliance (availability via vSphere HA, not a 3-node VC cluster). | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.",https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
Workload Domain vCenter,HA,Large,1,16,39,3088,VCF Workload Domain,No,No,DES-VC-HA; DES-FLEET-HA; DES-PNP,VCF-VC-REQD-CFG-002;VCF-VC-REQD-CFG-005,DES-VC-HA,"DES-VC-HA: vCenter Medium/Large per Fleet sizing; single VC appliance (availability via vSphere HA, not a 3-node VC cluster). | DES-FLEET-HA: Fleet HA footprint: typically 3-node clustered appliances (Ops/NSX/Automation) + sized MS workers. | DES-PNP: Confirm absolute vCPU/RAM/Disk from Planning & Preparation workbook Management Domain Sizing tab.",https://techdocs.broadcom.com/us/en/vmware-cis/vcf/vcf-9-0-and-later/9-1/design/vmware-cloud-foundation-concepts/vcf-fleet-sizing-models-9-x.html,
